timestamp,v1,rs1,v2,rs2
17:49:02.670,2.017,14.79,2.085,13.98
17:49:04.728,2.022,14.73,2.067,14.19
17:49:06.750,1.995,15.06,2.02,14.75
17:49:08.828,2.035,14.57,2.055,14.33
17:49:10.896,2.05,14.39,2.084,13.99
17:49:12.946,2.006,14.93,2.083,14.0
17:49:15.007,1.981,15.24,2.074,14.11
17:49:17.056,1.95,15.64,2.12,13.58
17:49:19.109,1.952,15.61,2.104,13.76
17:49:21.156,1.909,16.19,2.134,13.43
17:49:23.195,1.94,15.77,2.115,13.64
17:49:25.257,1.928,15.93,2.122,13.56
17:49:27.319,1.94,15.77,2.101,13.8
17:49:29.378,1.973,15.34,2.091,13.91
17:49:31.411,2.009,14.89,2.056,14.32
17:49:33.462,1.982,15.23,2.039,14.52
17:49:35.495,1.9,16.32,2.039,14.52
17:49:37.543,1.9,16.32,2.038,14.53
17:49:39.582,1.9,16.32,2.083,14.0
17:49:41.633,1.9,16.32,2.04,14.51
17:49:43.689,1.9,16.32,2.083,14.0
17:49:45.728,1.91,16.18,2.069,14.17
17:49:47.786,1.9,16.32,2.04,14.51
17:49:49.844,1.9,16.32,2.073,14.12
17:49:51.877,1.9,16.32,2.025,14.69
17:49:53.945,1.935,15.84,2.04,14.51
17:49:55.998,1.907,16.22,2.088,13.95
17:49:58.055,1.912,16.15,2.076,14.08
17:50:00.092,1.9,16.32,2.035,14.57
17:50:02.139,1.953,15.6,2.113,13.66
17:50:04.179,1.959,15.52,2.147,13.29
17:50:06.235,1.944,15.72,2.112,13.67
17:50:08.308,1.946,15.69,2.126,13.52
17:50:10.346,1.962,15.48,2.101,13.8
17:50:12.395,1.962,15.48,2.067,14.19
17:50:14.443,1.966,15.43,2.147,13.29
17:50:16.501,2.028,14.65,2.15,13.26
17:50:18.529,2.05,14.39,2.109,13.71
17:50:20.571,2.05,14.39,2.116,13.63
17:50:22.637,2.029,14.64,2.116,13.63
17:50:24.710,2.05,14.39,2.038,14.53
17:50:26.755,2.039,14.52,2.037,14.55
17:50:28.818,2.05,14.39,2.031,14.62
17:50:30.866,2.05,14.39,2.063,14.24
17:50:32.894,2.05,14.39,2.098,13.83
17:50:34.955,2.025,14.69,2.108,13.72
17:50:37.001,2.05,14.39,2.125,13.53
17:50:39.039,2.034,14.58,2.061,14.26
17:50:41.102,2.05,14.39,2.033,14.59
17:50:43.138,1.996,15.05,2.048,14.41
17:50:45.172,1.928,15.93,2.034,14.58
17:50:47.209,1.939,15.79,2.003,14.96
17:50:49.250,2.006,14.93,2.046,14.44
17:50:51.312,2.012,14.85,2.09,13.92
17:50:53.355,2.05,14.39,2.117,13.62
17:50:55.392,2.048,14.41,2.118,13.61
17:50:57.442,2.007,14.91,2.09,13.92
17:50:59.516,1.942,15.75,2.071,14.14
17:51:01.551,2.022,14.73,2.08,14.04
17:51:03.609,2.05,14.39,2.041,14.5
17:51:05.646,2.05,14.39,2.127,13.51
17:51:07.728,2.04,14.51,2.15,13.26
17:51:09.775,2.027,14.67,2.135,13.42
17:51:11.796,2.05,14.39,2.15,13.26
17:51:13.837,2.027,14.67,2.15,13.26
17:51:15.873,2.014,14.83,2.114,13.65
17:51:17.913,1.942,15.75,2.09,13.92
17:51:19.959,1.997,15.04,2.109,13.71
17:51:22.015,2.036,14.56,2.114,13.65
17:51:24.075,2.01,14.88,2.112,13.67
17:51:26.141,2.021,14.74,2.133,13.44
17:51:28.184,2.022,14.73,2.107,13.73
17:51:30.210,2.05,14.39,2.072,14.13
17:51:32.233,2.05,14.39,2.029,14.64
17:51:34.273,2.042,14.49,2.043,14.47
17:51:36.308,2.05,14.39,2.036,14.56
17:51:38.330,2.05,14.39,2.044,14.46
17:51:40.380,2.042,14.49,2.05,14.39
17:51:42.438,2.05,14.39,2.095,13.87
17:51:44.475,2.05,14.39,2.118,13.61
17:51:46.523,2.05,14.39,2.102,13.79
17:51:48.579,2.01,14.88,2.123,13.55
17:51:50.609,2.019,14.76,2.129,13.49
17:51:52.652,2.009,14.89,2.109,13.71
17:51:54.694,2.007,14.91,2.081,14.03
17:51:56.732,2.037,14.55,2.061,14.26
17:51:58.793,2.05,14.39,2.076,14.08
17:52:00.854,2.05,14.39,2.044,14.46
17:52:02.907,2.011,14.86,2.002,14.98
17:52:04.973,2.009,14.89,2.0,15.0
17:52:07.027,1.999,15.01,2.0,15.0
17:52:09.062,1.965,15.45,2.003,14.96
17:52:11.097,1.954,15.59,2.0,15.0
17:52:13.135,1.996,15.05,2.022,14.73
17:52:15.197,2.021,14.74,2.054,14.34
17:52:17.232,2.02,14.75,2.038,14.53
17:52:19.256,2.034,14.58,2.018,14.78
17:52:21.313,1.991,15.11,2.047,14.43
17:52:23.349,1.973,15.34,2.042,14.49
17:52:25.392,1.935,15.84,2.006,14.93
17:52:27.432,1.963,15.47,2.007,14.91
17:52:29.466,2.004,14.95,2.0,15.0
17:52:31.514,1.963,15.47,2.013,14.84
17:52:33.546,1.955,15.58,2.0,15.0
17:52:35.606,1.981,15.24,2.037,14.55
17:52:37.640,2.013,14.84,2.005,14.94
17:52:39.673,2.05,14.39,2.008,14.9
17:52:41.708,2.05,14.39,2.042,14.49
17:52:43.763,2.028,14.65,2.034,14.58
17:52:45.802,2.003,14.96,2.061,14.26
17:52:47.835,2.04,14.51,2.092,13.9
17:52:49.887,2.05,14.39,2.054,14.34
17:52:51.940,2.039,14.52,2.04,14.51
17:52:53.972,2.05,14.39,2.03,14.63
17:52:56.026,2.05,14.39,2.037,14.55
17:52:58.054,2.05,14.39,2.017,14.79
17:53:00.103,2.031,14.62,2.06,14.27
17:53:02.148,2.03,14.63,2.095,13.87
17:53:04.184,1.988,15.15,2.068,14.18
17:53:06.254,2.011,14.86,2.108,13.72
17:53:08.329,2.016,14.8,2.141,13.35
17:53:10.400,1.984,15.2,2.138,13.39
17:53:12.455,2.019,14.76,2.15,13.26
17:53:14.513,2.05,14.39,2.15,13.26
17:53:16.549,2.048,14.41,2.123,13.55
17:53:18.589,2.023,14.72,2.15,13.26
17:53:20.629,2.021,14.74,2.15,13.26
17:53:22.679,2.032,14.61,2.15,13.26
17:53:24.743,2.028,14.65,2.112,13.67
17:53:26.804,2.05,14.39,2.072,14.13
17:53:28.865,2.05,14.39,2.036,14.56
17:53:30.920,2.05,14.39,2.015,14.81
17:53:32.987,2.05,14.39,2.0,15.0
17:53:35.034,2.05,14.39,2.0,15.0
17:53:37.094,2.05,14.39,2.0,15.0
17:53:39.161,2.05,14.39,2.02,14.75
17:53:41.208,2.032,14.61,2.038,14.53
17:53:43.247,2.01,14.88,2.0,15.0
17:53:45.289,1.989,15.14,2.0,15.0
17:53:47.350,2.019,14.76,2.003,14.96
17:53:49.394,2.039,14.52,2.0,15.0
